"","cluster","Accession","Protein","SL_GOIs","Gene"
"Zm00001d031676_T001",2,"Zm00001d031676_T001","Chitin elicitor receptor kinase 1",NA,"Zm00001d031676"
"Zm00001d016474_T001",2,"Zm00001d016474_T001","Probable protein phosphatase 2C 74","Other","Zm00001d016474"
"Zm00001d015829_T001",2,"Zm00001d015829_T001","Probable copper-transporting ATPase HMA5","Other","Zm00001d015829"
"Zm00001d053016_T002",2,"Zm00001d053016_T002","Putative calcium-dependent protein kinase family protein  ","Other","Zm00001d053016"
"Zm00001d007318_T001",2,"Zm00001d007318_T001","Bifunctional dihydrofolate reductase-thymidylate synthase Dihydrofolate reductase Thymidylate synthase ","Other","Zm00001d007318"
"Zm00001d014897_T005",2,"Zm00001d014897_T005","proline-rich spliceosome-associated (PSP) family protein",NA,"Zm00001d014897"
"Zm00001d019423_T002",2,"Zm00001d019423_T002","Nuclear pore complex protein NUP54","Other","Zm00001d019423"
"Zm00001d023817_T005",2,"Zm00001d023817_T005","Dihydrofolate synthetase",NA,"Zm00001d023817"
"Zm00001d052343_T001",2,"Zm00001d052343_T001","Probable serine/threonine-protein kinase WNK5","Other","Zm00001d052343"
"Zm00001d016856_T007",2,"Zm00001d016856_T007"," calmodulin binding protein1","Other","Zm00001d016856"
"Zm00001d041734_T001",2,"Zm00001d041734_T001","protein_coding","Other","Zm00001d041734"
"Zm00001d011159_T001",2,"Zm00001d011159_T001","Ubiquitin-conjugating enzyme family protein","Other","Zm00001d011159"
"Zm00001d014435_T004",2,"Zm00001d014435_T004","D-xylose-proton symporter-like 1",NA,"Zm00001d014435"
"Zm00001d037640_T001",2,"Zm00001d037640_T001","Adenine nucleotide transporter BT1 chloroplastic/mitochondrial","Other","Zm00001d037640"
"Zm00001d034501_T001",2,"Zm00001d034501_T001","AAA-ATPase ASD mitochondrial","Other","Zm00001d034501"
"Zm00001d039575_T001",2,"Zm00001d039575_T001","1-aminocyclopropane-1-carboxylate oxidase  ","Other","Zm00001d039575"
"Zm00001d024963_T001",2,"Zm00001d024963_T001","Glutathione S-transferase GSTU6  ","Other","Zm00001d024963"
"Zm00001d042922_T002",2,"Zm00001d042922_T002","Probable mediator of RNA polymerase II transcription subunit 37c","Other","Zm00001d042922"
"Zm00001d005457_T001",2,"Zm00001d005457_T001","protein_coding","Other","Zm00001d005457"
"Zm00001d019629_T001",2,"Zm00001d019629_T001","Dehydrodolichyl diphosphate synthase 1","Other","Zm00001d019629"
"Zm00001d047765_T001",2,"Zm00001d047765_T001","Glutathione S-transferase L2 chloroplastic","Other","Zm00001d047765"
"Zm00001d016248_T001",2,"Zm00001d016248_T001","Citrate synthase 3 peroxisomal","Other","Zm00001d016248"
"Zm00001d027352_T001",2,"Zm00001d027352_T001","Pyridoxine/pyridoxamine 5'-phosphate oxidase 2","Other","Zm00001d027352"
"Zm00001d031602_T003",2,"Zm00001d031602_T003","Uridine kinase-like protein 2 chloroplastic",NA,"Zm00001d031602"
"Zm00001d002823_T001",2,"Zm00001d002823_T001","Hsp70-Hsp90 organizing protein 3","Other","Zm00001d002823"
"Zm00001d027756_T001",2,"Zm00001d027756_T001","12-dihydroxy-3-keto-5-methylthiopentene dioxygenase 3","Other","Zm00001d027756"
"Zm00001d005910_T001",2,"Zm00001d005910_T001","Probable carboxylesterase 2","Other","Zm00001d005910"
"Zm00001d012591_T001",2,"Zm00001d012591_T001","Probable nucleoredoxin 1","Other","Zm00001d012591"
"Zm00001d009178_T001",2,"Zm00001d009178_T001","Serine carboxypeptidase-like 33","Other","Zm00001d009178"
"Zm00001d009940_T003",2,"Zm00001d009940_T003","Putative AGC protein kinase family protein  ","Other","Zm00001d009940"
"Zm00001d011642_T003",2,"Zm00001d011642_T003","Phosphoethanolamine N-methyltransferase 3",NA,"Zm00001d011642"
"Zm00001d051083_T001",2,"Zm00001d051083_T001","Protein kinase domain containing protein",NA,"Zm00001d051083"
"Zm00001d048349_T001",2,"Zm00001d048349_T001","protein_coding",NA,"Zm00001d048349"
"Zm00001d043382_T001",2,"Zm00001d043382_T001"," glutamate-oxaloacetate transaminase1","Other","Zm00001d043382"
"Zm00001d027967_T001",2,"Zm00001d027967_T001","EMB514","Other","Zm00001d027967"
"Zm00001d035637_T001",2,"Zm00001d035637_T001","protein_coding",NA,"Zm00001d035637"
"Zm00001d031503_T001",2,"Zm00001d031503_T001","Chaperonin 60 subunit alpha 2 chloroplastic","Other","Zm00001d031503"
"Zm00001d014146_T001",2,"Zm00001d014146_T001","Hsp20/alpha crystallin family protein  ","Other","Zm00001d014146"
"Zm00001d015300_T002",2,"Zm00001d015300_T002","60S ribosomal protein L19  ",NA,"Zm00001d015300"
"Zm00001d049768_T001",2,"Zm00001d049768_T001","oligopeptide transporter-like protein","Other","Zm00001d049768"
"Zm00001d021385_T001",2,"Zm00001d021385_T001","NADPH--cytochrome P450 reductase 2","Other","Zm00001d021385"
"Zm00001d002602_T001",2,"Zm00001d002602_T001","4-hydroxy-tetrahydrodipicolinate synthase 2 chloroplastic","Other","Zm00001d002602"
"Zm00001d007827_T001",2,"Zm00001d007827_T001"," early light inducible protein1","Other","Zm00001d007827"
"Zm00001d052153_T001",2,"Zm00001d052153_T001","YbaK/aminoacyl-tRNA synthetase-associated domain","Other","Zm00001d052153"
"Zm00001d033496_T001",2,"Zm00001d033496_T001"," nicotianamine synthase 3","Other","Zm00001d033496"
"Zm00001d028533_T001",2,"Zm00001d028533_T001","Calcium ion binding protein  ","Other","Zm00001d028533"
"Zm00001d012846_T001",2,"Zm00001d012846_T001","Elongation factor Tu mitochondrial","Other","Zm00001d012846"
"Zm00001d046260_T002",2,"Zm00001d046260_T002","NADH dehydrogenase subunit 7","Other","Zm00001d046260"
"Zm00001d015715_T001",2,"Zm00001d015715_T001","protein_coding",NA,"Zm00001d015715"
"Zm00001d019172_T001",2,"Zm00001d019172_T001","alpha/beta-Hydrolases superfamily protein","Other","Zm00001d019172"
"Zm00001d024333_T002",2,"Zm00001d024333_T002","Mitochondrial pyruvate carrier 4",NA,"Zm00001d024333"
"Zm00001d009645_T001",2,"Zm00001d009645_T001","Whole genome shotgun sequence of line PN40024 scaffold_8.assembly12x (Fragment)","Other","Zm00001d009645"
"Zm00001d048459_T006",2,"Zm00001d048459_T006","Sodium/hydrogen exchanger 2",NA,"Zm00001d048459"
"Zm00001d010970_T004",2,"Zm00001d010970_T004","Isovaleryl-CoA dehydrogenase mitochondrial","Other","Zm00001d010970"
"Zm00001d013156_T001",2,"Zm00001d013156_T001","NADH-ubiquinone oxidoreductase 23 kDa subunit  ","Other","Zm00001d013156"
"Zm00001d041716_T002",2,"Zm00001d041716_T002","Syntaxin-132",NA,"Zm00001d041716"
"Zm00001d053090_T001",2,"Zm00001d053090_T001","14-3-3-like protein  ","Other","Zm00001d053090"
"Zm00001d017848_T002",2,"Zm00001d017848_T002","Clustered mitochondria protein","Other","Zm00001d017848"
"Zm00001d022469_T001",2,"Zm00001d022469_T001","Probable histone-arginine methyltransferase 1.4","Other","Zm00001d022469"
"Zm00001d044908_T001",2,"Zm00001d044908_T001"," 12-oxo-phytodienoic acid reductase1","Other","Zm00001d044908"
"Zm00001d010855_T001",2,"Zm00001d010855_T001","Stress protein%3B Stress-related protein  ","Other","Zm00001d010855"
"Zm00001d003655_T004",2,"Zm00001d003655_T004","DExH-box ATP-dependent RNA helicase DExH7 chloroplastic",NA,"Zm00001d003655"
"Zm00001d040581_T001",2,"Zm00001d040581_T001","Peroxidase 2","Other","Zm00001d040581"
"Zm00001d017197_T008",2,"Zm00001d017197_T008","protein_coding",NA,"Zm00001d017197"
"Zm00001d015464_T004",2,"Zm00001d015464_T004","Calmodulin binding protein  ",NA,"Zm00001d015464"
"Zm00001d033535_T009",2,"Zm00001d033535_T009","Cox19-like CHCH family protein",NA,"Zm00001d033535"
"Zm00001d012007_T007",2,"Zm00001d012007_T007","CBS domain-containing protein CBSCBSPB1",NA,"Zm00001d012007"
"Zm00001d018791_T001",2,"Zm00001d018791_T001","Anther-specific proline-rich protein APG  ","Other","Zm00001d018791"
"Zm00001d041216_T001",2,"Zm00001d041216_T001","Ubiquitin-conjugating enzyme 15","Other","Zm00001d041216"
"Zm00001d053576_T001",2,"Zm00001d053576_T001","Probable elongation factor 1-gamma 2","Other","Zm00001d053576"
"Zm00001d019075_T006",2,"Zm00001d019075_T006","RNAligase","Other","Zm00001d019075"
"Zm00001d020687_T001",2,"Zm00001d020687_T001"," protein disulfide isomerase8","Other","Zm00001d020687"
"Zm00001d003712_T001",2,"Zm00001d003712_T001"," abscisic acid stress ripening3","Other","Zm00001d003712"
"Zm00001d044480_T001",2,"Zm00001d044480_T001","Vacuolar protein sorting-associated protein 32 homolog 1","Other","Zm00001d044480"
"Zm00001d004564_T002",2,"Zm00001d004564_T002","Aconitate hydratase 3 mitochondrial",NA,"Zm00001d004564"
"Zm00001d028931_T001",2,"Zm00001d028931_T001"," galactinol synthase1","Other","Zm00001d028931"
"Zm00001d023529_T001",2,"Zm00001d023529_T001"," abscisic acid stress ripening1","Other","Zm00001d023529"
"Zm00001d043174_T001",2,"Zm00001d043174_T001","Cytochrome P450 98A3","Other","Zm00001d043174"
"Zm00001d013030_T002",2,"Zm00001d013030_T002","Calcium-dependent protein kinase 7","Other","Zm00001d013030"
"Zm00001d052485_T005",2,"Zm00001d052485_T005","AMP-binding protein  ",NA,"Zm00001d052485"
"Zm00001d033110_T001",2,"Zm00001d033110_T001","Inositol-phosphate phosphatase","Other","Zm00001d033110"
"Zm00001d029065_T001",2,"Zm00001d029065_T001","Protein LRP16  ","Other","Zm00001d029065"
"Zm00001d019587_T001",2,"Zm00001d019587_T001","protein_coding","Other","Zm00001d019587"
"Zm00001d047760_T001",2,"Zm00001d047760_T001","hydrolase family protein / HAD-superfamily protein","Other","Zm00001d047760"
"Zm00001d009890_T001",2,"Zm00001d009890_T001","protein_coding","Other","Zm00001d009890"
"Zm00001d045478_T001",2,"Zm00001d045478_T001","Histone H1%3B Putative histone H1/H5 domain family protein  ","Other","Zm00001d045478"
"Zm00001d039165_T010",2,"Zm00001d039165_T010","DNA damage-binding protein 1a",NA,"Zm00001d039165"
"Zm00001d041719_T001",2,"Zm00001d041719_T001","Heat shock protein 90-6 mitochondrial","Other","Zm00001d041719"
"Zm00001d003800_T006",2,"Zm00001d003800_T006","alpha/beta-Hydrolases superfamily protein",NA,"Zm00001d003800"
"Zm00001d032049_T002",2,"Zm00001d032049_T002"," 12-oxo-phytodienoic acid reductase7","Other","Zm00001d032049"
"Zm00001d031447_T021",2,"Zm00001d031447_T021","ABC transporter C family member 10",NA,"Zm00001d031447"
"Zm00001d043144_T001",2,"Zm00001d043144_T001","Calmodulin-7","Other","Zm00001d043144"
"Zm00001d008985_T001",2,"Zm00001d008985_T001","Putative cytochrome P450 superfamily protein  ","Other","Zm00001d008985"
"Zm00001d019303_T001",2,"Zm00001d019303_T001","protein_coding","Other","Zm00001d019303"
"Zm00001d022587_T001",2,"Zm00001d022587_T001","PWWP domain containing protein  ","Other","Zm00001d022587"
"Zm00001d044043_T001",2,"Zm00001d044043_T001","GDSL esterase/lipase ","Other","Zm00001d044043"
"Zm00001d044921_T001",2,"Zm00001d044921_T001","Probable carboxylesterase 2","Other","Zm00001d044921"
"Zm00001d002139_T001",2,"Zm00001d002139_T001","Transferase  ","Other","Zm00001d002139"
"Zm00001d008408_T001",2,"Zm00001d008408_T001","protein_coding","Other","Zm00001d008408"
"Zm00001d021301_T001",2,"Zm00001d021301_T001"," LON peptidase1","Other","Zm00001d021301"
"Zm00001d013397_T001",2,"Zm00001d013397_T001","Fb27  ","Other","Zm00001d013397"
"Zm00001d039454_T001",2,"Zm00001d039454_T001","Ectonucleotide pyrophosphatase/phosphodiesterase 1  ","Other","Zm00001d039454"
"Zm00001d004707_T012",2,"Zm00001d004707_T012"," thylakoid assembly1",NA,"Zm00001d004707"
"Zm00001d018954_T002",2,"Zm00001d018954_T002","Rhicadhesin receptor  ","Other","Zm00001d018954"
"Zm00001d021564_T001",2,"Zm00001d021564_T001","Disease resistance protein RPM1",NA,"Zm00001d021564"
"Zm00001d002503_T001",2,"Zm00001d002503_T001","ABC transporter C family member 9","Other","Zm00001d002503"
"Zm00001d035646_T001",2,"Zm00001d035646_T001","Putative DUF26 domain family protein  ","Other","Zm00001d035646"
"Zm00001d005932_T001",2,"Zm00001d005932_T001","Aldose reductase  ","Other","Zm00001d005932"
"Zm00001d038862_T001",2,"Zm00001d038862_T001","Cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG8","Other","Zm00001d038862"
"Zm00001d049179_T002",2,"Zm00001d049179_T002","O-methyltransferase ZRP4","Other","Zm00001d049179"
"Zm00001d049171_T002",2,"Zm00001d049171_T002","Lipase/lipooxygenase PLAT/LH2 family protein",NA,"Zm00001d049171"
"Zm00001d037401_T001",2,"Zm00001d037401_T001","proteasome activating protein 200","Other","Zm00001d037401"
"Zm00001d006231_T001",2,"Zm00001d006231_T001","PLC-like phosphodiesterases superfamily protein","Other","Zm00001d006231"
"Zm00001d053663_T001",2,"Zm00001d053663_T001","Fumarylacetoacetase","Other","Zm00001d053663"
"Zm00001d028910_T002",2,"Zm00001d028910_T002","protein_coding","Other","Zm00001d028910"
"Zm00001d053513_T001",2,"Zm00001d053513_T001","UDP-glycosyltransferase 72B1","Other","Zm00001d053513"
"Zm00001d049360_T001",2,"Zm00001d049360_T001","evolutionarily conserved C-terminal region 10","Other","Zm00001d049360"
"Zm00001d044838_T002",2,"Zm00001d044838_T002","HVA22-like protein a","Other","Zm00001d044838"
"Zm00001d021300_T001",2,"Zm00001d021300_T001","Histone H2A  ","Other","Zm00001d021300"
"Zm00001d041456_T001",2,"Zm00001d041456_T001","26S proteasome non-ATPase regulatory subunit 11 homolog","Other","Zm00001d041456"
"Zm00001d017100_T002",2,"Zm00001d017100_T002","Vacuolar protein sorting-associated protein 20 homolog 2",NA,"Zm00001d017100"
"Zm00001d046949_T001",2,"Zm00001d046949_T001","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein","Other","Zm00001d046949"
"Zm00001d051337_T002",2,"Zm00001d051337_T002","Ubiquitin carboxyl-terminal hydrolase 3","Other","Zm00001d051337"
"Zm00001d010698_T001",2,"Zm00001d010698_T001","NAD(P)H dehydrogenase (quinone) FQR1",NA,"Zm00001d010698"
"Zm00001d038917_T003",2,"Zm00001d038917_T003","ARM repeat superfamily protein",NA,"Zm00001d038917"
"Zm00001d039157_T001",2,"Zm00001d039157_T001","V-type proton ATPase subunit C","Other","Zm00001d039157"
"Zm00001d034429_T005",2,"Zm00001d034429_T005","PITH domain-containing protein ",NA,"Zm00001d034429"
"Zm00001d007692_T004",2,"Zm00001d007692_T004","Auxilin-related protein 1",NA,"Zm00001d007692"
"Zm00001d024624_T005",2,"Zm00001d024624_T005","Tyrosyl-tRNA synthetase  ",NA,"Zm00001d024624"
"Zm00001d045326_T001",2,"Zm00001d045326_T001","ATP-dependent 6-phosphofructokinase 3","Other","Zm00001d045326"
"Zm00001d053765_T001",2,"Zm00001d053765_T001"," vacuolar proton pump3","Other","Zm00001d053765"
"Zm00001d049929_T001",2,"Zm00001d049929_T001","Dihydroxy-acid dehydratase chloroplastic","Other","Zm00001d049929"
"Zm00001d048545_T001",2,"Zm00001d048545_T001","P-loop containing nucleoside triphosphate hydrolases superfamily protein","Other","Zm00001d048545"
"Zm00001d012313_T001",2,"Zm00001d012313_T001","Carbohydrate-binding-like fold","Other","Zm00001d012313"
"Zm00001d048419_T001",2,"Zm00001d048419_T001","La-related protein 1C","Other","Zm00001d048419"
"Zm00001d021050_T001",2,"Zm00001d021050_T001","Ribulose-phosphate 3-epimerase  ","Other","Zm00001d021050"
"Zm00001d046336_T002",2,"Zm00001d046336_T002"," vacuolar proton pump2",NA,"Zm00001d046336"
"Zm00001d000379_T002",2,"Zm00001d000379_T002","ADP-ribosylation factor-like A1A","Other","Zm00001d000379"
"Zm00001d035515_T001",2,"Zm00001d035515_T001","Protein alx  ","Other","Zm00001d035515"
"Zm00001d004136_T001",2,"Zm00001d004136_T001","Glutathione S-transferase family protein","Other","Zm00001d004136"
"Zm00001d013039_T001",2,"Zm00001d013039_T001"," photosystem I subunit d1","PhANGs","Zm00001d013039"
"Zm00001d006611_T001",2,"Zm00001d006611_T001","alpha/beta-Hydrolases superfamily protein","Other","Zm00001d006611"
"Zm00001d008736_T001",2,"Zm00001d008736_T001","Monothiol glutaredoxin-S15 mitochondrial","Other","Zm00001d008736"
"Zm00001d002000_T003",2,"Zm00001d002000_T003"," lipoxygenase6",NA,"Zm00001d002000"
"Zm00001d027330_T001",2,"Zm00001d027330_T001","Remorin  ","Other","Zm00001d027330"
"Zm00001d031071_T001",2,"Zm00001d031071_T001"," albino or pale green mutant1","Other","Zm00001d031071"
"Zm00001d042050_T001",2,"Zm00001d042050_T001","Protein RETICULATA-RELATED 4 chloroplastic","Other","Zm00001d042050"
"Zm00001d044745_T006",2,"Zm00001d044745_T006","Alanine--tRNA ligase chloroplastic/mitochondrial","Other","Zm00001d044745"
"Zm00001d004392_T001",2,"Zm00001d004392_T001","Thylakoid lumenal 15.0 kDa protein 2 chloroplastic","Other","Zm00001d004392"
"Zm00001d018779_T001",2,"Zm00001d018779_T001","Oxygen-evolving enhancer protein 2-1 chloroplastic","PhANGs","Zm00001d018779"
"Zm00001d044277_T002",2,"Zm00001d044277_T002","Elongation factor Ts%2C mitochondrial  ",NA,"Zm00001d044277"
"Zm00001d007225_T005",2,"Zm00001d007225_T005","ARM repeat superfamily protein",NA,"Zm00001d007225"
"Zm00001d005520_T001",2,"Zm00001d005520_T001","Phosphoglycerate mutase family protein","Other","Zm00001d005520"
"Zm00001d008634_T001",2,"Zm00001d008634_T001","Probable carboxylesterase 15","Other","Zm00001d008634"
"Zm00001d022438_T001",2,"Zm00001d022438_T001","Ubiquinol-cytochrome c reductase complex 6.7 kDa protein  ","Other","Zm00001d022438"
"Zm00001d013254_T001",2,"Zm00001d013254_T001","ABC transporter B family member 27","Other","Zm00001d013254"
"Zm00001d005950_T001",2,"Zm00001d005950_T001"," dicarboxylic acid transporter1","Other","Zm00001d005950"
"Zm00001d038840_T001",2,"Zm00001d038840_T001"," voltage-dependent anion channel protein2","Other","Zm00001d038840"
"Zm00001d025640_T001",2,"Zm00001d025640_T001","Acyl-CoA N-acyltransferases (NAT) superfamily protein","Other","Zm00001d025640"
"Zm00001d013635_T001",2,"Zm00001d013635_T001","O-Glycosyl hydrolases family 17 protein","Other","Zm00001d013635"
"Zm00001d045574_T002",2,"Zm00001d045574_T002","Sec14p-like phosphatidylinositol transfer family protein","Other","Zm00001d045574"
"Zm00001d048998_T001",2,"Zm00001d048998_T001","Chlorophyll a-b binding protein CP26 chloroplastic","PhANGs","Zm00001d048998"
"Zm00001d013455_T001",2,"Zm00001d013455_T001","Peptidyl-prolyl cis-trans isomerase  ","Other","Zm00001d013455"
"Zm00001d029150_T001",2,"Zm00001d029150_T001"," divinyl reductase1","Other","Zm00001d029150"
"Zm00001d027456_T001",2,"Zm00001d027456_T001"," PBA1 homolog1","Other","Zm00001d027456"
"Zm00001d054078_T001",2,"Zm00001d054078_T001","Uncharacterised conserved protein UCP022280",NA,"Zm00001d054078"
"Zm00001d036496_T001",2,"Zm00001d036496_T001","Choline monooxygenase chloroplastic","Other","Zm00001d036496"
"Zm00001d016619_T002",2,"Zm00001d016619_T002","Ubiquinol-cytochrome c reductase iron-sulfur subunit  ",NA,"Zm00001d016619"
"Zm00001d001788_T036",2,"Zm00001d001788_T036","K(+) efflux antiporter 2 chloroplastic",NA,"Zm00001d001788"
"Zm00001d023538_T002",2,"Zm00001d023538_T002","Long chain acyl-CoA synthetase 9 chloroplastic","Other","Zm00001d023538"
"Zm00001d035054_T004",2,"Zm00001d035054_T004","Succinate dehydrogenase subunit 6 mitochondrial","Other","Zm00001d035054"
"Zm00001d020188_T001",2,"Zm00001d020188_T001","Protein arginine N-methyltransferase 1.1","Other","Zm00001d020188"
"Zm00001d042767_T001",2,"Zm00001d042767_T001","Glucan endo-13-beta-glucosidase 14","Other","Zm00001d042767"
"Zm00001d031418_T001",2,"Zm00001d031418_T001","Frataxin mitochondrial","Other","Zm00001d031418"
"Zm00001d045819_T001",2,"Zm00001d045819_T001","decoy","Other","Zm00001d045819"
"Zm00001d044042_T001",2,"Zm00001d044042_T001"," malate dehydrogenase3","Other","Zm00001d044042"
"Zm00001d006061_T004",2,"Zm00001d006061_T004","Oxidoreductase  ","Other","Zm00001d006061"
"Zm00001d049359_T001",2,"Zm00001d049359_T001","O-Glycosyl hydrolases family 17 protein","Other","Zm00001d049359"
"Zm00001d052186_T001",2,"Zm00001d052186_T001","Pre-mRNA-splicing factor prp45  ","Other","Zm00001d052186"
"Zm00001d000260_T001",2,"Zm00001d000260_T001","Photosystem II D2 protein","PhANGs","Zm00001d000260"
"Zm00001d015025_T001",2,"Zm00001d015025_T001","AMP binding protein  ","Other","Zm00001d015025"
"Zm00001d006587_T001",2,"Zm00001d006587_T001","Chlorophyll a-b binding protein CP29.1 chloroplastic","Other","Zm00001d006587"
"Zm00001d042184_T001",2,"Zm00001d042184_T001","6-phosphogluconate dehydrogenase%2C decarboxylating  ","Other","Zm00001d042184"
"Zm00001d008940_T001",2,"Zm00001d008940_T001","ABC transporter D family member 2 chloroplastic",NA,"Zm00001d008940"
"Zm00001d006630_T001",2,"Zm00001d006630_T001","Chalcone isomerase  ","Other","Zm00001d006630"
"Zm00001d051635_T001",2,"Zm00001d051635_T001","protein_coding","Other","Zm00001d051635"
"Zm00001d050889_T001",2,"Zm00001d050889_T001","Oxygen evolving enhancer protein 3  ","Other","Zm00001d050889"
"Zm00001d035500_T003",2,"Zm00001d035500_T003","Bifunctional bis(5'-adenosyl)-triphosphatase/adenylylsulfatase FHIT","Other","Zm00001d035500"
"Zm00001d028707_T001",2,"Zm00001d028707_T001","protein_coding",NA,"Zm00001d028707"
"Zm00001d027369_T001",2,"Zm00001d027369_T001","Protein-ribulosamine 3-kinase chloroplastic","Other","Zm00001d027369"
"ZemaCp048.1",2,"ZemaCp048.1","psbB","PhAPGs","ZemaCp048.1"
"Zm00001d011649_T001",2,"Zm00001d011649_T001","UDP-glycosyltransferase 88A1","Other","Zm00001d011649"
"Zm00001d022602_T001",2,"Zm00001d022602_T001","universal stress family protein","Other","Zm00001d022602"
"Zm00001d012083_T002",2,"Zm00001d012083_T002","Thioredoxin F-type chloroplastic","Other","Zm00001d012083"
"Zm00001d041179_T004",2,"Zm00001d041179_T004","Outer envelope pore protein 37 chloroplastic","Other","Zm00001d041179"
"Zm00001d049858_T001",2,"Zm00001d049858_T001","Import inner membrane translocase subunit Tim8%3B Mitochondrial import inner membrane translocase subunit Tim8  ","Other","Zm00001d049858"
"Zm00001d004293_T001",2,"Zm00001d004293_T001","Electron transfer flavoprotein subunit beta mitochondrial","Other","Zm00001d004293"
"Zm00001d009446_T001",2,"Zm00001d009446_T001","B4FAQ5]","Other","Zm00001d009446"
"Zm00001d027445_T002",2,"Zm00001d027445_T002","Sphingoid long-chain bases kinase 2 mitochondrial","Other","Zm00001d027445"
"Zm00001d002103_T007",2,"Zm00001d002103_T007","3-oxoacyl-[acyl-carrier-protein] synthase III chloroplastic",NA,"Zm00001d002103"
"Zm00001d009212_T003",2,"Zm00001d009212_T003","dihydrolipoyl dehydrogenases","Other","Zm00001d009212"
"Zm00001d030127_T001",2,"Zm00001d030127_T001","Plastidal glycolate/glycerate translocator 1 chloroplastic","Other","Zm00001d030127"
"Zm00001d049821_T001",2,"Zm00001d049821_T001","DHBP synthase RibB-like alpha/beta domain","Other","Zm00001d049821"
